Name, "Número atómico", "Símbolo", "Masa", "Masa exacta", "Ionización", "Afinidad electrónica", "Electronegatividad", "Radio covalente", "Radio de Van der Waals", "Punto de fusión", "Punto de ebullición", "Familia"
"Estroncio", "38", "Sr", "87,62 u", "87.9056121", "5.695 eV", "0.05206 eV", "0,95", "192 pm", "255 pm", "1042 K", "1655 K", "Alkaline_Earth"
"Itrio", "39", "Y", "88,9059 u", "88.9058483", "6.217 eV", "0.307 eV", "1,22", "162 pm", "240 pm", "1795 K", "3611 K", "Transition"
"Circonio", "40", "Zr", "91,224 u", "89.9047044", "6.634 eV", "0.426 eV", "1,33", "148 pm", "230 pm", "2128 K", "4682 K", "Transition"
"Niobio", "41", "Nb", "92,9064 u", "92.9063781", "6.759 eV", "0.893 eV", "1,6", "137 pm", "215 pm", "2742 K", "5015 K", "Transition"
"Molibdeno", "42", "Mo", "95,96 u", "97.9054082", "7.092 eV", "0.7472 eV", "2,16", "145 pm", "210 pm", "2896 K", "4912 K", "Transition"
"Tecnecio", "43", "Tc", "98 u", "97.907216", "7.28 eV", "0.55 eV", "1,9", "156 pm", "205 pm", "2477 K", "4538 K", "Transition"
"Rutenio", "44", "Ru", "101,07 u", "101.9043493", "7.361 eV", "1.046 eV", "2,2", "126 pm", "205 pm", "2610 K", "4425 K", "Transition"
"Rodio", "45", "Rh", "102,906 u", "102.905504", "7.459 eV", "1.143 eV", "2,28", "135 pm", "200 pm", "2236 K", "3970 K", "Transition"
"Paladio", "46", "Pd", "106,42 u", "105.903486", "8.337 eV", "0.5621 eV", "2,2", "131 pm", "205 pm", "1825 K", "3240 K", "Transition"
"Plata", "47", "Ag", "107,868 u", "106.905097", "7.576 eV", "1.304 eV", "1,93", "153 pm", "210 pm", "1235 K", "2436 K", "Transition"
"Cadmio", "48", "Cd", "112,411 u", "113.9033585", "8.994 eV", "0 eV", "1,69", "148 pm", "220 pm", "594.3 K", "1040 K", "Transition"
"Indio", "49", "In", "114,818 u", "114.903878", "5.786 eV", "0.404 eV", "1,78", "144 pm", "220 pm", "429.8 K", "2350 K", "Other_Metal"
"Estaño", "50", "Sn", "118,71 u", "119.9021947", "7.344 eV", "1.112 eV", "1,96", "141 pm", "225 pm", "505.1 K", "2876 K", "Other_Metal"
"Antimonio", "51", "Sb", "121,76 u", "120.9038157", "8.608 eV", "1.047 eV", "2,05", "138 pm", "220 pm", "903.9 K", "1860 K", "Metalloids"
"Telurio", "52", "Te", "127,6 u", "129.9062244", "9.01 eV", "1.971 eV", "2,1", "135 pm", "210 pm", "722.7 K", "1261 K", "Metalloids"
"Yodo", "53", "I", "126,904 u", "126.904473", "10.45 eV", "3.059 eV", "2,66", "133 pm", "210 pm", "386.7 K", "457.5 K", "Halogen"
"Xenón", "54", "Xe", "131,293 u", "131.9041535", "12.13 eV", "0 eV", "2,6", "130 pm", "216 pm", "161.4 K", "165.1 K", "Noblegas"
"Cesio", "55", "Cs", "132,905 u", "132.9054519", "3.894 eV", "0.4716 eV", "0,79", "225 pm", "300 pm", "301.5 K", "944 K", "Alkali_Earth"
"Bario", "56", "Ba", "137,327 u", "137.9052472", "5.212 eV", "0.1446 eV", "0,89", "198 pm", "270 pm", "1002 K", "2078 K", "Alkaline_Earth"
"Lantano", "57", "La", "138,905 u", "138.9063533", "5.577 eV", "0.47 eV", "1,1", "169 pm", "250 pm", "1191 K", "3737 K", "Rare_Earth"
"Cerio", "58", "Ce", "140,116 u", "139.9054387", "5.539 eV", "0.5 eV", "1,12", "0 pm", "248 pm", "1071 K", "3715 K", "Rare_Earth"
"Praseodimio", "59", "Pr", "140,908 u", "140.9076528", "5.473 eV", "0.5 eV", "1,13", "0 pm", "247 pm", "1204 K", "3785 K", "Rare_Earth"
"Neodimio", "60", "Nd", "144,242 u", "141.9077233", "5.525 eV", "0.5 eV", "1,14", "0 pm", "245 pm", "1294 K", "3347 K", "Rare_Earth"
